Food Item,Quantity,Calories (kcal),Protein (g),Carbohydrates(g),Fats (g),Breakfast,Lunch,Dinner,veg/nonveg
Pumpkin Paratha,2.0,225.0,5.0,32.5,9.0,1.0,0.0,0.0,1.0
Kokum Kadhi,1.0,60.0,4.5,32.5,6.5,1.0,0.0,0.0,1.0
Kothimbir Roti,2.0,175.0,6.0,27.5,9.0,1.0,0.0,0.0,1.0
Avocado Salad,1.0,175.0,5.5,32.5,9.0,1.0,0.0,0.0,1.0
Quinoa Upma,1.0,225.0,10.0,37.5,12.0,1.0,0.0,0.0,1.0
Tofu Stir-Fry,1.0,175.0,8.0,37.5,12.5,1.0,1.0,1.0,1.0
Chickpea Salad,1.0,225.0,9.0,32.5,9.0,1.0,0.0,0.0,0.0
Hummus with Veggies,1.0,225.0,9.0,32.5,9.0,1.0,0.0,0.0,1.0
Falafel Wrap,1.0,275.0,11.0,27.5,9.0,1.0,0.0,0.0,1.0
Lentil Soup,1.0,175.0,9.0,32.5,6.5,1.0,0.0,0.0,1.0
Greek Yogurt with Berries,1.0,175.0,6.0,37.5,12.5,1.0,0.0,0.0,1.0
Buddha Bowl,1.0,275.0,10.0,35.0,12.5,1.0,0.0,0.0,1.0
Avocado Toast,2.0,225.0,8.0,37.5,12.5,1.0,0.0,0.0,1.0
Mushroom Masala,1.0,225.0,5.0,7.0,4.0,0.0,1.0,1.0,1.0
Gawar Phali Ki Sabzi,1.0,175.0,4.0,9.0,5.0,0.0,1.0,1.0,1.0
Pattagobhi Matar,1.0,225.0,5.0,11.0,3.0,0.0,1.0,1.0,1.0
Shenga Sukka,1.0,175.0,6.0,7.0,5.0,0.0,1.0,1.0,1.0
Kathal Ki Sabzi,1.0,225.0,4.0,18.0,9.0,0.0,1.0,1.0,1.0
Gavarfali Masala,1.0,225.0,7.0,14.0,4.0,0.0,1.0,1.0,1.0
Pumpkin Erissery,1.0,275.0,8.0,23.0,11.0,0.0,1.0,0.0,1.0
Amla Chutney,1.0,60.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0
Karela Masala,1.0,175.0,4.0,5.0,5.0,0.0,1.0,1.0,1.0
Kala Chana Curry,1.0,225.0,11.0,28.0,7.0,0.0,1.0,1.0,1.0
Drumstick Sambar,1.0,225.0,9.0,18.0,6.0,0.0,1.0,1.0,1.0
Ratalu Nu Shaak,1.0,225.0,7.0,23.0,11.0,0.0,1.0,1.0,1.0
Tinda Masala,1.0,175.0,5.0,14.0,7.0,0.0,1.0,1.0,1.0
Bhutte Ka Kees,1.0,175.0,7.0,18.0,5.0,1.0,0.0,0.0,1.0
Palak Corn,1.0,175.0,6.0,13.0,4.0,0.0,1.0,1.0,1.0
Kachri Ki Sabzi,1.0,175.0,7.0,9.0,5.0,0.0,1.0,0.0,1.0
Lauki Kofta Curry,1.0,225.0,9.0,14.0,7.0,0.0,1.0,1.0,1.0
Fish Curry,1.0,200.0,20.0,5.0,8.0,0.0,1.0,1.0,0.0
Chicken Chettinad,1.0,250.0,22.0,7.0,12.0,0.0,1.0,1.0,0.0
Fish Moilee,1.0,200.0,19.0,4.0,9.0,0.0,1.0,1.0,0.0
Prawn Balchao,1.0,225.0,21.0,6.0,10.0,0.0,1.0,1.0,0.0
Mutton Keema,1.0,250.0,20.0,8.0,14.0,0.0,1.0,1.0,0.0
Chicken Sukka,1.0,250.0,22.0,6.0,12.0,0.0,1.0,1.0,0.0
Fish Amritsari,1.0,225.0,20.0,5.0,11.0,0.0,1.0,1.0,0.0
Prawn Malai Curry,1.0,250.0,22.0,8.0,12.0,0.0,1.0,1.0,0.0
Mutton Do Pyaza,1.0,275.0,19.0,10.0,17.0,0.0,1.0,1.0,0.0
Chicken Vindaloo,1.0,250.0,22.0,8.0,12.0,0.0,1.0,1.0,0.0
Fish Tikka,1.0,225.0,21.0,5.0,10.0,0.0,1.0,1.0,0.0
Prawn Gassi,1.0,250.0,22.0,7.0,11.0,0.0,1.0,1.0,0.0
Chicken Xacuti,1.0,250.0,22.0,8.0,13.0,0.0,1.0,1.0,0.0
Fish Curry Rice,1.0,250.0,19.0,25.0,8.0,0.0,1.0,1.0,0.0
Prawn Biryani,1.0,300.0,21.0,40.0,12.0,0.0,1.0,1.0,0.0
Chicken Stew,1.0,225.0,21.0,6.0,8.0,0.0,1.0,1.0,0.0
Fish Fry,1.0,225.0,20.0,6.0,12.0,0.0,1.0,1.0,0.0
Prawn Fried Rice,1.0,300.0,20.0,40.0,10.0,0.0,1.0,1.0,0.0
Mutton Korma,1.0,275.0,19.0,10.0,17.0,0.0,1.0,1.0,0.0
Fish Curry Andhra,1.0,200.0,19.0,5.0,8.0,0.0,1.0,1.0,0.0
Mutton Saagwala,1.0,275.0,20.0,8.0,18.0,0.0,1.0,1.0,0.0
Chicken Jalfrezi,1.0,250.0,22.0,7.0,12.0,0.0,1.0,1.0,0.0
Kadaknath Chicken Curry,1.0,225.0,25.0,6.0,10.0,0.0,1.0,1.0,0.0
Salmon Tikka,1.0,250.0,23.0,5.0,15.0,0.0,1.0,1.0,0.0
Quail Fry,1.0,240.0,26.0,4.0,14.0,0.0,1.0,1.0,0.0
Turkey Keema,1.0,275.0,28.0,6.0,12.0,0.0,1.0,1.0,0.0
Mackerel Fish Curry,1.0,210.0,22.0,5.0,9.0,0.0,1.0,1.0,0.0
Egg Bhurji with Spinach,1.0,180.0,12.0,5.0,12.0,1.0,0.0,0.0,0.0
Chicken Sausage Omelette,1.0,200.0,18.0,4.0,14.0,1.0,0.0,0.0,0.0
Quinoa Chicken Salad,1.0,220.0,20.0,25.0,8.0,1.0,0.0,0.0,0.0
Smoked Salmon Bagel,1.0,250.0,15.0,30.0,10.0,1.0,0.0,0.0,0.0
Mutton Keema Sandwich,1.0,300.0,18.0,35.0,12.0,1.0,0.0,0.0,0.0
Fish Patties,1.0,200.0,14.0,12.0,10.0,1.0,0.0,0.0,0.0
Chicken Quiche,1.0,250.0,20.0,10.0,15.0,1.0,0.0,0.0,0.0
Turkey Bacon Wrap,1.0,230.0,16.0,20.0,12.0,1.0,0.0,0.0,0.0
Prawn and Avocado Toast,1.0,220.0,14.0,20.0,12.0,1.0,0.0,0.0,0.0
Chicken Sausage Idli,1.0,200.0,15.0,25.0,8.0,1.0,0.0,0.0,0.0
Veggie Paneer Sandwich,1.0,180.0,12.0,25.0,6.0,1.0,0.0,0.0,1.0
Spinach and Cheese Wrap,1.0,210.0,10.0,30.0,8.0,1.0,0.0,0.0,1.0
Moringa Leaf Juice,1.0,60.0,3.0,10.0,1.0,1.0,0.0,0.0,1.0
Carrot Ginger Smoothie,1.0,150.0,2.0,30.0,1.0,1.0,0.0,1.0,1.0
Turmeric Golden Milk,1.0,120.0,4.0,15.0,5.0,1.0,0.0,0.0,1.0
Beetroot and Apple Juice,1.0,130.0,1.0,30.0,0.0,1.0,1.0,0.0,1.0
Almond Saffron Milkshake,1.0,180.0,6.0,20.0,8.0,1.0,0.0,1.0,1.0
Cucumber Aloe Vera Juice,1.0,50.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0
Spinach Pineapple Smoothie,1.0,110.0,2.0,25.0,1.0,1.0,0.0,1.0,1.0
Kefir with Berries,1.0,100.0,5.0,15.0,3.0,1.0,0.0,0.0,1.0
Fig and Banana Smoothie,1.0,200.0,4.0,40.0,2.0,1.0,0.0,0.0,1.0
Pomegranate Mint Juice,1.0,120.0,1.0,28.0,0.0,1.0,0.0,1.0,1.0
Papaya Mint Smoothie,1.0,140.0,2.0,32.0,1.0,1.0,0.0,1.0,1.0
Kiwi Spinach Juice,1.0,90.0,2.0,20.0,0.0,1.0,1.0,0.0,1.0
Mango Chia Seed Smoothie,1.0,170.0,3.0,35.0,4.0,1.0,0.0,0.0,1.0
Avocado Banana Smoothie,1.0,220.0,3.0,40.0,8.0,1.0,0.0,0.0,1.0
Coconut Juice,1.0,60.0,1.0,15.0,0.5,1.0,1.0,1.0,1.0
,,,,,,,,,
